Title,Link,Source,Date,Sentiment
"Rajkumar Hirani: राजकुमार हिरानी को सम्मानित करेगी मध्य प्रदेश सरकार, इस पुरस्कार से नवाजे जाएंगे निर्देशक",https://news.google.com./read/CBMi6gFBVV95cUxQSnhSYlY3YVVBeG9lbXd3MGd3TTYzdTdVVjI5bkFyWmlHTkp1OGZWanBDZlZuY25xMHNNRU02azE0Uk5BNXJwUWVkeFRZUzR5cno4TWMteDlVTWQwMW5oNmNsTmNNaE9oanJDdVlsUjdTQXRyNVQ5a2c0RFNqLXc3Mk5QV19OTE55d3pGS2RLbXowRVA0RXdVVXd2TXQ1cGRrc3JIT2haM0dUNWZvMUdaTTJ0RUZfaGdzUnA5MXM0bjhSTkh0X1VCX1ZubGpyQmxuYUlxbWdNTTdtQXlBN3I1UWpQMjY0ZE5WbWfSAe8BQVVfeXFMTWw4aTJUTkZHbzloaFNjdGd0Ty14U1hxS0NmQlRTQ2NMRk5aZk5zaVc5NUJDNjNHOFROZ0VjM3FrelVHTzM3enRGdU5jaV9TSFNZSWw0bkJHaG1CbUoyRGtMUS1SeEp4YVJKYklscl9tcEh2NXVaeS1GS25WLTlCWUtBRXc4cDRETFBuZzFlTnZRc25wYmMzajBDRmhHSW5pd2F4Y2FWN1dPSkZTcGFrN2hlU1Etd3BJX3JVSUZRb0RRY19yYnQ3N1YwWTZaU1JTLXNQblhMWF9hYUlPcHRHbXFYMnpuWW0wbW9ZUVBDeUE?hl=hi&gl=IN&ceid=IN%3Ahi,अमर उजाला,3 घंटे पहले,Positive
"मध्य प्रदेश में स्पेशल सरकारी कर्मचारियों का बढ़ने वाला है जमकर DA, बस इतने दिन गिने - MP Central Govt Employee DA Hike",https://news.google.com./read/CBMi7gFBVV95cUxPWWZJdF9yZEE2UFlxME9lZkZjWlp4R1VOcHNJYW1FaFdfVXUxT3lwVzBPWEppRWo4Q05wUndPcUhLZWgyOExDQ29RaElHOWtsSm16Y29CcTNiNmtYeHh2RGxVME1rSkZXem84S0pzME03SndpNUJVRUlYMHpjOFRFMXFrbEVwQWVrM2pXX0JxNUhKekZQVE14OUJBM1NWc0hkc09sclR3cXBlR0pkUER3a0VBSzNOLXgxY0pjMG91cUwwTXpVV2FhaEFDNUdXelZmR2cyZjF0ZXM4cVhyUFFKb3VmQ3B0dDVtSHYtcUN30gHzAUFVX3lxTE9wS3NyV240QkZkS0VJZDVSMldmeFlMNGNMd2E2a0dkZmVZcV9hZjBTTFdNcWVYZWFNUG9nMFZxeGNVbnVxWUV4dWNlNVc2cW9vNmhSLWlyMEphbnpMZnZCaXUxc1lXTThJU1Q2aFp5LWRpUEdQeFlzNlB0bjExMDBzUzVBZWlMR0c5UGlhUk9pVk43djlFY3pZMVJreldOSTJLTDA1WUpLOVRpNHlFemlwaUZYN1JfQWg4UElhZjB3ME5DWVNIWmw1VEhsZlQzOTRGR0cxUHFzVmNSX25ETXpxRzJpT2d4U2lBYUR2SWJWOEFfZw?hl=hi&gl=IN&ceid=IN%3Ahi,ETV Bharat,5 दिन पहले,Positive
"मध्य प्रदेश सरकार जल्द ही स्वास्थ्य कर्मचारियों के 30 हजार पदों पर निकालेगी भर्ती, उपमुख्यमंत्री ने किया एलान - Madhya Pradesh government will soon recruit 30 thousand posts of health workers, Deputy Chief Minister",https://news.google.com./read/CBMi9gFBVV95cUxNTUo4bGQxYkhwSThDanVjYU9JQkpUY2thNUZOTjNURmNia2RseEYyRndCbUVnNUItTmlvRDRYSE04bWRqNkxicXhEb3U1X2xLbWlSU1k5TThBTUdEZWpCV2c1ckVBaWlTbUFYNkUxVzNSdjNPLXFDdWVFOUxzVDE5WUFBelgtWWMzU3VSbzlJRG05WXBOX0dGZlhCdFpraXFmYVdHb2tpWUxDcWY4NlU1dk1CXzIwSTR1RTJkS3M5VDRySDByaGlLYzJGUmZTTkU1RUF2VW1rc0ZoV0pYbzNTX2NsaXpoYnl6TzJqd3QtcFBKSzg2Mmc?hl=hi&gl=IN&ceid=IN%3Ahi,दैनिक जागरण (Dainik Jagran),6 दिन पहले,Positive
"MP News: एमपी के सरकारी अधिकारियों कर्मचारियों के ट्रांसफर को लेकर आ गया बड़ा अपडेट, तबादले से पहले ही बदल गए नियम, जानें",https://news.google.com./read/CBMiuAJBVV95cUxQNS1NR2FHR21faVJrUzg5a0pPanlYOTBNWlhrM2lhQTB4TnVMUFFOSkg0N2xjNzFTY1lfZEFuc0lLNDd0WWVIUU9ZdDQ4VDVSNTRSWVliZ3BQc3kxelhxM1Q5T29mNDA2WExwOUt5a2pYNFRDOHV2TUtydlZnZGR5enpJWUVpWlV1OGF1bTBhX2x0UXVxZUQ5N2VrOXdQTTdjOGhzSV9obUtuYUdlN3NzbzVXNDRXLUpRa2ZtclJrYVRoX1BoNkNKMXFKZ0dMUkVNZHVIY1Rhb3J2MlpSZjFoOFVpRVFoeTd5V3ZQNG9EZTIyOUkzdzZuRmViU01sby1NdDRYR3ZyV1hKZF91eDFvemVnSWpPbkI5N1cxamh1TXJBaklZZ25UOVNhT19GT3BES3drNGktQ1fSAb4CQVVfeXFMUG8yV0tMMnl2anhtWDBsYkl6X3pDZXYtclAta0dhOTl3SnRYckVnVzdscUNrbzh6MG1mclUwNm53YnJfemkyRWZkMHp5Z2FHcUxfZ05LT2JRbDRLYTRWSHlDN1QtT3lLdlJsMlF4bHFpXzMtMXhZc3ozSVBiY3pVOWVuU1pyYy0zVVRFdGVJYjZwWFc3ZVlUZGFNLWhYM1k3N2U5U1FpclRFYlRCSmVqX0pYajZQZXNRSmxkUUtDYkh1TVVjRkNqY0NXMkhoMjZiSjFIRnMwaklSbkw4QVpfVnJBOFJZaU1IYk45U3JZRk1RZlk3Rl81QXExc1JFaEFKVWF5bVhiVDJFQTA0enRZRXdIZFlRcTJDYmFpLTlzX0N4WUN4YktuQkwwNnEzXzRzeUpzLVpvUE5jMEJiclB3?hl=hi&gl=IN&ceid=IN%3Ahi,NBT नवभारत टाइम्स (Navbharat Times),27 सित॰,Sensitive
"Ayushman Bharat: आयुष्मान योजना में अपडेट, एमपी सरकार सड़क हादसों में घायलों को देगी मुफ्त इलाज, 7 दिन में मिलेगी मदद",https://news.google.com./read/CBMiwgJBVV95cUxQT0NINWpLVzJydVNTeXpPa2dvdVFobmV1ZEV2UHlneXFUZkZNVW1tZG5hZll4SzdNaFJ1TTZ2TUxzMVI3UnluLVYtaEZUZDNsaGFQMDM5ZGNFb2txZGwwYUlSckFZMjhqbVc2aTU0UGtxVEJLTWNqTjdQN3hDdjFBOE5mYW9wd1Q2bEFJeXd0dlZXQVhZTHJMM3g4dEdqRDJMMkM3dXhDOGlhQktwcjJuMkZXTUlaSzNBODlfR1pjNTByM2RzdV8zbEtnckJtRTIzLXY5WHdfQ3VOdjJCMmhIbWUtcjVNbkZZM0tiSnhUaFh0V2tQZGdUUDVHOG1wNE9SdmEyYllSaEZfOXIxemlqZThSeFpyOGFWS2k5eXBhaWxlQWxtdDA5YUFKVnpsWjFIdDFlZThWUm9SOUU4UmFVUFZn0gHHAkFVX3lxTE55WWloV0lZZkpzdGZVc1ljNVpjQlN2Y1ZZVzhSZk9YNzlrZUdLNGxyTlNrdEZiTXM4V3FOTXdOY0lNRExYQU1WQkJzVlVIanBubGpYdzNQcTVaQ2d4QTl2ZzZWd3RxTW4zZ3BFSkVBVmpDRjh5NEVieU91VEV1eGFJM0J0N3pxZEhoUWJfM3pHRVBjVjRIcUNxNTg4RnJSb2RKUE1XUXpJaGdiV2tuNXBBazQ5Wklud01makhScUtlLWxyeDdDQi1fdlVuZ2ZBQWJPMVZJczRkbzVzcUdwQnNpeWZSRl9kS3pCWjR4QW9aRDBna0o2SS1JbW5RblZaa2RLT1gxMGoyNS1leHpCWmdTeWZ2Wk81XzVQVWk1OVB0T2RSRVVvMktxQnVOVHJyU2oxVVdFLTA4R0ZiNEtoa191OFBTWTA1NA?hl=hi&gl=IN&ceid=IN%3Ahi,NBT नवभारत टाइम्स (Navbharat Times),24 सित॰,Sensitive
"Bandhavgarh Tiger Reserve: उमरिया में अपने ही सरकार के खिलाफ प्रदर्शन कर रही पूर्व मंत्री मीना सिंह, Video",https://news.google.com./read/CBMi8gFBVV95cUxNNUdiQ2liRTVpRUFaTTdCVndiUlZwNFZweGZQMVZZNjhQT2h2VHFJY1R4QV9nRXZNYzFBQXZCendhMGxkdUptekhISUdXYXlVa2t0OGhqRlZlaTkyOElYQU5rOGQ1TmhvLXpKang0WjJCaGZ6aUx0Rmk5Rm95empNeFF1ellpZjFDMG1rV2dHNWdqN3BOV3B5SDB3Rzh6dzU5cGlTcG5JQm9YSXNpbGkzdWxwNGkxNU1zU3IzQjhFU1o3RnhLSkVqM2kzTlcwbkgzSDNqc2RLV1Utd1VieE9QUFpKRUZub2RIcm5fSkxTZndjd9IB9wFBVV95cUxQMTZSSEdiYk94UGYtekVwamNRMVFSTlJyWUVEbHNvVlFuSEh1M3RnVEFSTnRsSlFEaHR1Z0kxa3RnZ3pnV1BjcjRKeUNRaHpQZTdjN1JlLXVCbjJkZmNmRzhIYzNLUU9uQzl4WmV4MmNVUTRmYlU5R0VSWkUzWnJ2MlRZQ2NYYldGODNsNHJtbWpSV3RueXQxdExqODFNZE5UTTVWOW5YaGFGVWw5NHVDcERBRnBPMnFUTDVCdDdtb2I2dEdNMnRrRWd4ZlpNcjQzTWp1bXU2Q3VKMm4xclZ1b1p2cWRwdlNBamFPa3otc19HTFA3eVNn?hl=hi&gl=IN&ceid=IN%3Ahi,अमर उजाला,5 दिन पहले,Negative
"MP Crime: रतलाम में UKG की बच्ची से यौन शोषण, स्कूल चौकीदार के बेटे पर आरोप, पटवारी का सरकार पर जुबानी हमला",https://news.google.com./read/CBMi9wFBVV95cUxNR2hNZThkd3ZHWkNUNjUzZ0NCb3V0dW5yVFJteWhlUEtScVlvcmxnWTJCaHZGTmFHdy1hbnRPMmFqaEZyNEdFdE9UMXFmTU5ub3hzYlV6a0RVQjNwTkVMRzRSWDBEYVNZLUctVW0yRWdrUGRCRWRwaGRpLURPZWg3cVpsQUJLN3FpdWQxMndQOGVxbjgwS2FhSVJmZGN2TWNIdF9faExvcnVPUnFvczMxeFhCZUpBMmxoSTI4S3pMelhHWWY1SVdpaFhUN0VMSUdpc1h2SndGNmIyMk5wYkNoWnlDMkhwQ3dpeFVNS0M5bjVXRFdkamNF?hl=hi&gl=IN&ceid=IN%3Ahi,अमर उजाला,6 दिन पहले,Negative
"Teacher's Day: मध्य प्रदेश सरकार ने शिक्षकों को दिया बड़ा तोहफा, अब 62 नहीं, इतने वर्ष तक बनी रहेगी नौकरी",https://news.google.com./read/CBMiywFBVV95cUxNOVZaLVZKeFBRMzRrSV9SLWhrMkJPdDdiMm02LXNxbUZJLXRSRWthdy13TEx2bXYzOWxQb2otYnFwN2xNOTFJbV9meTYyYmo4QnowR1VsVjhjTDEwUjRBajFsSEZWclZOYkNOcU82MjlJd25MMWNtcXJCYlAzZGlOdUhiT2YzTW45dmJyYmEzMDlwZ25wTEgydnpwbnh6RzEtYm1kYnBXTWFzb2hodkJUVTJGR0dmMHBQOEo5Uk5rd2VrbS1aaC1TWmxDVdIB0wFBVV95cUxNZU01ODlSSkZZZExkbldDcW9RT3NzMHR0UXFkN3g2elhrWmlGTThCZzBXTlJwQlFHUDdFWGU4OV9pR0pfSWF5QXM3OVhkaEJYZzBRQXNFbkVfaEZnaE9yWHd0eC1ZOGRGLUFyb0ZqU25sNHJGNG55c0ZsUl91RnFXRVVXbFJ6SHk5eHBGWXlFb1huY3lkSXp3U3lhT2g2eldfbjd5RXpvb3I4MzVuWVdfYVBBM2pEb2o4VXBSRlZwVV9HYTNkemV3SW8yaEhVdnhRb1hn?hl=hi&gl=IN&ceid=IN%3Ahi,NDTV MPCG,5 सित॰,Positive
Bhopal: सितंबर से नवंबर तक सरकारी कर्मचारियों की होगी बल्ले-बल्ले! कॉमन छुट्टियों के अलावा मिले 4 स्पेशल हॉलिडे,https://news.google.com./read/CBMitgJBVV95cUxNbWdWTFdtaDQxc0FUUnpPY09WOTF5X3pXTDRyb2J0N3UwbDItMVROZTdhNDJNOUdkWlg0TU8xdXZjQTBoRDdVSE9kRmxSQ0xqMTg4QnNwRnB3bWZ1NlROTUtpSG52LXRXbWpMVnZEaFhIdXZJYnhKSXBTTTRNU185X0MyTWNSYThqTW1mckZScGtCRUt4Sm1JdHBjN1JBTVpnWmVJc0dhUDdMTGZQMExFNlh1Q1Z6cU10UWJUT09GUV9CTU9uVXczbVI3Yi1xX1EtblVLdVd3Ti03aUtsdHZ0S2J5MmtNM2s4VWR1WXJhTDlMRzFzRzZDOXQ5WGtQWFNqS3hUNkRtelJDODV2Nnh5SFlxOHNucVZTaXhFX21sU3J2dFlRRXVSZDl4Rm1nTmNpak5VdVZR0gG7AkFVX3lxTE9IOGowbFliVzg3dWtZSFRCM1BRdnFFOWNMaTlaUmRUM0JDcWkwLXVWclJZQy1kVWJtaTZDTTJaVmZUajBDeDI2UEFaU2tnQmZMT21BbnpWRExjNm5mRUlxVEEwRHc0cTVhVWplTC13MWZUdnFISGRsLWZwM2RMbWZLN1hwcjJ2TlFwSUFGd3BrNjlPODdDRnpPdEU5ZEdBT2pFQVRYZEJLZWdVS3c1WWd5eHZLb2NRSmZOQnlYVG1oWDJJZ1l0Q3NQbjZEX29DYXhweE5rWE5Ca2ZDbHhibjlsb2I1TGhETVYyTHRGQWZjMjZha3VKWXZObXE3Q3RDazNzQmVkQXlVQTZCeG83eHR0aUZ2WTF3OEs1TjFFMXUzdnN6N25KcU9lcVN0Z3pCa0ttNS1JV1g4eUhNOA?hl=hi&gl=IN&ceid=IN%3Ahi,NBT नवभारत टाइम्स (Navbharat Times),30 अग॰,Positive
"कर्मचारियों के ट्रांसफर को लेकर राज्य सरकार कर रही बड़ी तैयारी, हट रहा तबादला बैन - MP Transfer Policy 2024",https://news.google.com./read/CBMi-wFBVV95cUxNMFhhelA0LTVYbGY1R0FoWVZDV2g5NW5SanU0Z0ZhVUhqT2w3WDJZcmlzbFQ1MTFTdUxQNEVjNnJKODkyc0JJekh3R1Z2SUJ0b3dTRzRaSHF4eEVrTkdRaG1oYjRhc1VhN3dHX1Flb3ZlOFQ0VXJNdnEzWmxBbkZoYkdIa0c5RWtWNGh1NGNyQ3U5Mm84RU5PSy1oQzJRM3NoNWhLUy1zX0I2TTBBckt1VXpGaEdHQ1Z4UURackJHZW90akl5Wk1PbW5fRERpM3ZlbjFUZDVpVjVXTDdLSEN4MFdreHNnZzZuai13NjBMRGNQZVc1dFhXZk5xc9IBgAJBVV95cUxNa2U0NnZNckhfa25rYW1aa1hJOEV6anY2QkxQYjN2eDFCSk4wVTdMa3hZS0ozLU0tZHFPejNPZmt5WFNrZ0g5Tk5TQzhjSXBkek10RUw5WGttOEd2VS1ZdERIZkdHN0gwTmhhN0xJSVRGd0JUMjNqdmF6bllRbF8wX0tvRkpMNEhveUJJdVpXNmxDenJ1alFtb0FxLThTdm9qSW0tZXY2MDdPQXowSThaamJOMlkxZGxEY2Vqb2pSRXY4R3JKYnBWTFhhdF9ZWkJ5Qk5hMmYwRVZkQkFBU0JKX0tXQkVOUVVvdHlZSHpOcEYtMkRPMWJjaTdkZ2IwVlRK?hl=hi&gl=IN&ceid=IN%3Ahi,ETV Bharat,9 सित॰,Sensitive
